#NOTE: I made some edits of the IDs to match the Harris catalog
#the only substatial edit was LYNGAring7 -> Lynga_7
#the rest were just taking out leading zeros, changing to lower case, and adding "_"
#Table 4
#Globular Cluster Relative Ages

#Name	[M/H]_ZW	[M/H]_CG	M^TO_F606W	D07_ZW	D07_CG	P04_CG	B94_CG	G00_CG	Group	
NGC_6934	-1.32	-1.10	3.81 +or- 0.04	0.91 +or- 0.04	0.87 +or- 0.04	0.86 +or- 0.04	0.88 +or- 0.04	0.86 +or- 0.03	Young	
NGC_6981	-1.28	-0.99	3.82 +or- 0.03	0.91 +or- 0.02	0.85 +or- 0.02	0.84 +or- 0.02	0.85 +or- 0.03	0.85 +or- 0.02	Young	
NGC_7078	-1.91	-1.80	3.74 +or- 0.05	1.00 +or- 0.04	1.01 +or- 0.04	1.01 +or- 0.04	1.02 +or- 0.04	1.01 +or- 0.04	Old	
NGC_7089	-1.39	-1.09	3.86 +or- 0.04	0.98 +or- 0.04	0.92 +or- 0.04	0.91 +or- 0.04	0.91 +or- 0.03	0.92 +or- 0.05	Young	
NGC_7099	-1.83	-1.70	3.76 +or- 0.05	1.01 +or- 0.04	1.01 +or- 0.05	1.01 +or- 0.04	1.01 +or- 0.04	1.01 +or- 0.04	Old	
Arp_2		-1.52	-1.23	3.74 +or- 0.07	0.91 +or- 0.06	0.85 +or- 0.06	0.84 +or- 0.06	0.84 +or- 0.06	0.85 +or- 0.05	Young	
E_3		-0.66	-0.69	4.09 +or- 0.11	0.95 +or- 0.05	1.00 +or- 0.11	1.02 +or- 0.13	1.00 +or- 0.10	1.02 +or- 0.15	Old	
Lynga_7		-0.48	-0.50	4.27 +or- 0.12	1.09 +or- 0.08	1.13 +or- 0.14	1.18 +or- 0.14	1.10 +or- 0.15	1.19 +or- 0.18	Old	
Pal_1		-0.46	-0.56	3.59 +or- 0.14	0.54 +or- 0.06	0.57 +or- 0.09	0.59 +or- 0.05	0.63 +or- 0.07	0.55 +or- 0.10	Young	
Pal_12		-0.68	-0.69	3.73 +or- 0.11	0.67 +or- 0.04	0.69 +or- 0.09	0.69 +or- 0.08	0.72 +or- 0.07	0.68 +or- 0.07	Young	
Terzan_7	-0.44	-0.42	3.63 +or- 0.07	0.55 +or- 0.04	0.57 +or- 0.04	0.57 +or- 0.05	0.63 +or- 0.04	0.51 +or- 0.05	Young	
Terzan_8	-1.75	-1.58	3.73 +or- 0.05	0.96 +or- 0.04	0.95 +or- 0.04	0.95 +or- 0.04	0.94 +or- 0.05	0.95 +or- 0.04	Old	
